STATIONS_ID,MESS_DATUM_BEGINN,MESS_DATUM_ENDE,QN_4,MO_TT,MO_TX,MO_TN,date_start,date_end,geo_lon,geo_lat,height,name,state
131,20130601,20130630,3,15.66,20.54,10.71,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20130701,20130731,3,19.35,25.68,13.43,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20130801,20130831,3,18.16,24.4,12.69,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20130901,20130930,3,12.84,17.3,8.84,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20131001,20131031,3,10.77,15.47,6.66,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20131101,20131130,3,4.42,6.9,1.73,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20131201,20131231,3,3.91,6.53,1.4,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20140101,20140131,3,1.25,4.05,-1.56,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20140201,20140228,3,4.37,8.55,1.21,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20140301,20140331,3,7.18,12.49,2.66,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20140401,20140430,3,10.73,16.43,5.52,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20140501,20140531,3,12.14,17.39,7.55,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20140601,20140630,3,15.66,21.64,10,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20140701,20140731,3,19.46,25.73,14.3,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20140801,20140831,3,16.3,21.52,11.87,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20140901,20140930,3,15.03,19.48,11.64,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20141001,20141031,3,11.93,16.11,8.38,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20141101,20141130,3,6.3,9.71,3.56,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20141201,20141231,3,1.94,4.07,-0.37,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20150101,20150131,3,2.07,4.01,0.07,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20150201,20150228,3,0.71,4.7,-2.34,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
